"Refs","Value","Footprint","Qty","DNP"
"A13","1ET7040SA_TWEETER","palpod-audio-amp:Purifi_1ET7040SA_Module","1",""
"A14","1ET7040SA_MID","palpod-audio-amp:Purifi_1ET7040SA_Module","1",""
"A15","1ET7040SA_WOOFER","palpod-audio-amp:Purifi_1ET7040SA_Module","1",""
"A16","1ET7040SA_SUBWOOFER","palpod-audio-amp:Purifi_1ET7040SA_Module","1",""
"C28","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C29","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C30","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C31","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C32","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C33","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C34","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C35","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C36","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C37","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C38","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C39","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C40","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C41","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C42","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C43","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C44","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C45","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C46","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C47","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C48","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C49","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C50","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C51","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C52","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C53","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C54","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C55","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C56","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C57","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C58","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C59","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C60","1000uF/100V","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","1",""
"C61","1000uF/100V","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","1",""
"C62","1000uF/100V","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","1",""
"C63","1000uF/100V","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","1",""
"J1","PSU_INPUT","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","1",""
"J2","I2S_DSD_IN","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J24","SPKR_TWEETER","palpod-audio-amp:WBT-0705_Terminal","1",""
"J25","SPKR_MID","palpod-audio-amp:WBT-0705_Terminal","1",""
"J26","SPKR_WOOFER","palpod-audio-amp:WBT-0705_Terminal","1",""
"J27","SPKR_SUBWOOFER","palpod-audio-amp:WBT-0705_Terminal","1",""
"L72","22uH","Inductor_SMD:L_Coilcraft_XAL1010","1",""
"L73","22uH","Inductor_SMD:L_Coilcraft_XAL1010","1",""
"R64","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R65","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R66","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R67","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R68","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R69","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R70","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R71","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"U3","CS2100-CP","palpod-audio-amp:CS2100_MSOP10","1",""
"U4","Si8660BB-B-IS1","palpod-audio-amp:Si8660_SOIC16","1",""
"U5","CS43198_TWEETER","palpod-audio-amp:CS43198_TQFN32","1",""
"U6","CS43198_MID","palpod-audio-amp:CS43198_TQFN32","1",""
"U7","CS43198_WOOFER","palpod-audio-amp:CS43198_TQFN32","1",""
"U8","CS43198_SUBWOOFER","palpod-audio-amp:CS43198_TQFN32","1",""
"U9","THAT1512_TWEETER","palpod-audio-amp:THAT1512_SOIC8","1",""
"U10","THAT1512_MID","palpod-audio-amp:THAT1512_SOIC8","1",""
"U11","THAT1512_WOOFER","palpod-audio-amp:THAT1512_SOIC8","1",""
"U12","THAT1512_SUBWOOFER","palpod-audio-amp:THAT1512_SOIC8","1",""
"U17","LM5116MHX_PLUS60V","palpod-audio-amp:LM5116_HTSSOP24","1",""
"U18","LM5116MHX_MINUS60V","palpod-audio-amp:LM5116_HTSSOP24","1",""
"U19","TPS3808G01DBVR","palpod-audio-amp:TPS3808_SOT23-5","1",""
"U20","ADT7420_TWEETER","palpod-audio-amp:ADT7420_MSOP8","1",""
"U21","ADT7420_MID","palpod-audio-amp:ADT7420_MSOP8","1",""
"U22","ADT7420_WOOFER","palpod-audio-amp:ADT7420_MSOP8","1",""
"U23","ADT7420_SUBWOOFER","palpod-audio-amp:ADT7420_MSOP8","1",""
