"Refs","Value","Footprint","Qty","DNP"
"C1","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C2","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C3","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C4","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C5","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C6","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C7","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C8","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C9","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C10","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C11","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C12","100nF","Capacitor_SMD:C_0402_1005Metric","1",""
"C20","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C21","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C22","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C23","10uF","Capacitor_SMD:C_0805_2012Metric","1",""
"C24","22uF","Capacitor_SMD:C_1210_3225Metric","1",""
"C25","220uF","Capacitor_SMD:C_1210_3225Metric","1",""
"D1","PMEG3020","Diode_SMD:D_SOD-323","1",""
"D2","PMEG3020","Diode_SMD:D_SOD-323","1",""
"D3","PMEG3020","Diode_SMD:D_SOD-323","1",""
"D4","PMEG3020","Diode_SMD:D_SOD-323","1",""
"J1","IMX415_CAM1","palpod-orb:FPC28_0.5mm_ZIF","1",""
"J2","IMX415_CAM2","palpod-orb:FPC28_0.5mm_ZIF","1",""
"J3","IMX415_CAM3","palpod-orb:FPC28_0.5mm_ZIF","1",""
"J4","IMX415_CAM4","palpod-orb:FPC28_0.5mm_ZIF","1",""
"J5","IMX415_CAM5","palpod-orb:FPC28_0.5mm_ZIF","1",""
"J6","IMX415_CAM6","palpod-orb:FPC28_0.5mm_ZIF","1",""
"J7","S3_LIDAR","palpod-orb:S3_LIDAR_UART10","1",""
"J8","WiFi7_M2","palpod-orb:M2_2230_KeyAE","1",""
"J9","OLED_OUT","palpod-orb:FPC40_0.5mm_ZIF","1",""
"L1","10uH","Inductor_SMD:L_1210_3225Metric","1",""
"R1","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"R2","4.7k","Resistor_SMD:R_0402_1005Metric","1",""
"U1","nRF54H20","palpod-orb:nRF54H20_aQFN94","1",""
"U2","TC358748","palpod-orb:TC358748_BGA80","1",""
"U3","VL53L8","palpod-orb:VL53L8_LGA16","1",""
"U4","BQ25798","palpod-orb:BQ25798_QFN29","1",""
"U5","P9418","palpod-orb:P9418_QFN40","1",""
"U6","SSD1963","palpod-orb:SSD1963_LFBGA121","1",""
"U7","TMR2305","palpod-orb:TMR2305_SOT23-5","1",""
"U8","TMR2305","palpod-orb:TMR2305_SOT23-5","1",""
"U9","TMR2305","palpod-orb:TMR2305_SOT23-5","1",""
"U10","TMR2305","palpod-orb:TMR2305_SOT23-5","1",""
